id;language;extension;author;name;path;circuit;m.Width;m.Depth;m.MaxDens;m.AvgDens;m.NoP-X;m.NoP-Y;m.NoP-Z;m.TNo-P;m.NoH;m.%SpposQ;m.NoOtherSG;m.TNoSQG;m.TNoCSQG;m.NoSWAP;m.NoCNOT;m.%QInCNOT;m.AvgCNOT;m.MaxCNOT;m.NoToff;m.%QInToff;m.AvgToff;m.MaxToff;m.NoGates;m.NoCGates;m.%SGates;m.NoOr;m.NoCOr;m.%QInOr;m.%QInCOr;m.AvgOrD;m.MaxOrD;m.NoM;m.%QM;p.initialization;p.superposition;p.oracle;p.entanglement
ed07212d-b835-405b-ae13-5bdac7106c82;Python;qiskit;Qiskit-Extensions;circuit-knitting-toolbox;Python_qiskit_Qiskit-Extensions_circuit-knitting-toolbox_test.cutting.qpd.test_qpd.py;"[[""H"", ""MEASURE"", ""H""], []]";2.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.5;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;False;False;False;False
594a93df-eab6-45d3-b296-aa1dbac7c9d8;Python;qiskit;qiskit-community;mapomatic;Python_qiskit_qiskit-community_mapomatic_mapomatic.tests.test_inflate.py;"[[""MEASURE""], [], [], [], []]";5.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2;False;False;False;False
e43dfacb-db11-4eef-bd63-bbf7e4a03e93;Python;qiskit;qiskit-community;mapomatic;Python_qiskit_qiskit-community_mapomatic_mapomatic.tests.test_deflate_barriers.py;"[[""MEASURE""], [], [], [], [], [], [], [], [], []]";10.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1;False;False;False;False
d1f13f83-2294-4803-aa68-8e8753474213;Python;qiskit;hanzili;QMaze;Python_qiskit_hanzili_QMaze_scripts.QubitState.py;"[[""X"", ""Y"", ""H"", ""Z""]]";1.0;4.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;False;False
d1f13f83-2294-4803-aa68-8e8753474213;Python;qiskit;hanzili;QMaze;Python_qiskit_hanzili_QMaze_scripts.QubitState.py;"[[""Y"", ""X"", ""Z"", ""H""]]";1.0;4.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;False;False
33e233ae-739a-4cc4-8adb-e81b057c0f22;Python;qiskit;DaisukeIto-ynu;KosakaQ_client;Python_qiskit_DaisukeIto-ynu_KosakaQ_client_kosakaq_provider.py;"[[""X"", ""Y"", ""Z"", ""H"", ""S""]]";1.0;5.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;False;False
d7f8bc4d-95e5-4809-9103-fc772846853d;Python;qiskit;DaisukeIto-ynu;KosakaQ_client;Python_qiskit_DaisukeIto-ynu_KosakaQ_client_test.py;"[[""MEASURE""]]";1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;False;False;False
ecf0d4ca-120a-4ddf-929c-b703bbde323d;Python;qiskit;UT-Austin-Quantum-Collective;Qiskit-Fall-Fest-2022;Python_qiskit_UT-Austin-Quantum-Collective_Qiskit-Fall-Fest-2022_Fall Fest 2022 submissions.Elixer Vitamin Boomer.Elitzur-Vaidman-Bomb-Minefield.py;"[[""MEASURE"", ""MEASURE""]]";1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;False;False;False;False
0447fb46-09c3-4087-9d43-6be15df6c512;Python;qiskit;jdanielescanez;quantum-solver;Python_qiskit_jdanielescanez_quantum-solver_src.crypto.b92.sender.py;"[[""H""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
49f47b27-b907-4c1e-8a9f-b98f1e7aa5aa;Python;qiskit;iitis;PyQBench;Python_qiskit_iitis_PyQBench_qbench.schemes.postselection.py;"[[""MEASURE""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;False;False;False;False
566c4943-1b44-4808-8545-ea933b206398;Python;qiskit;iitis;PyQBench;Python_qiskit_iitis_PyQBench_qbench.fourier._components._lucy_and_ibmq_common.py;"[[""RZ"", ""RZ"", ""X""]]";1.0;3.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
c6ed6b6c-8a78-4886-8671-c110427bf1d3;Python;qiskit;iitis;PyQBench;Python_qiskit_iitis_PyQBench_qbench.schemes.direct_sum.py;"[[""MEASURE""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;False;False;False;False
